序号,代码,name,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额,ticker
1,09698,万国数据-SW,21.4,1.1,5.42,20.8,21.8,20.8,20.3,1191121.0,25425369.0,9698.hk
2,02202,万科企业,7.99,0.35,4.58,7.65,8.13,7.34,7.64,105114731.0,811986544.0,2202.hk
3,01896,猫眼娱乐,8.67,0.37,4.46,8.3,8.87,8.25,8.3,6727673.0,57690755.0,1896.hk
4,01918,融创中国,3.31,0.14,4.42,3.1,3.35,2.92,3.17,815072896.0,2558659520.0,1918.hk
5,02013,微盟集团,1.76,0.07,4.14,1.7,1.78,1.66,1.69,65324000.0,112403080.0,2013.hk
6,09696,天齐锂业,28.5,1.0,3.64,27.15,29.3,27.15,27.5,5102860.0,145900902.0,9696.hk
7,02359,药明康德,55.9,1.9,3.52,54.0,57.8,53.35,54.0,11361794.0,634793728.0,2359.hk
8,01357,美图公司,2.87,0.09,3.24,2.79,3.07,2.76,2.78,121976600.0,354456048.0,1357.hk
9,03323,中国建材,3.51,0.09,2.63,3.44,3.55,3.39,3.42,28588722.0,98952115.0,3323.hk
10,00268,金蝶国际,8.73,0.19,2.22,8.55,8.8,8.38,8.54,18571724.0,160079750.0,0268.hk
11,03888,金山软件,28.85,0.6,2.12,28.2,29.7,27.95,28.25,6175512.0,178661559.0,3888.hk
12,01833,平安好医生,12.62,0.24,1.94,12.48,12.62,12.34,12.38,3312479.0,41404215.0,1833.hk
13,01347,华虹半导体,22.8,0.3,1.33,22.5,23.25,22.15,22.5,21462499.0,486898160.0,1347.hk
14,00873,世茂服务,1.01,0.01,1.0,0.97,1.04,0.97,1.0,1153437.0,1147409.0,0873.hk
15,01516,融创服务,2.04,0.02,0.99,2.05,2.07,1.95,2.02,21050862.0,42369569.0,1516.hk
16,06185,康希诺生物,28.6,0.25,0.88,28.15,29.6,27.8,28.35,1369520.0,39514721.0,6185.hk
17,01772,赣锋锂业,23.15,0.2,0.87,22.8,24.2,22.7,22.95,10345240.0,243856928.0,1772.hk
18,02150,奈雪的茶,1.58,0.01,0.64,1.57,1.59,1.52,1.57,8221500.0,12771335.0,2150.hk
19,01458,周黑鸭,1.68,0.01,0.6,1.68,1.71,1.65,1.67,4249500.0,7122232.0,1458.hk
20,02600,中国铝业,5.27,0.03,0.57,5.29,5.37,5.2,5.24,31810500.0,167950732.0,2600.hk
21,01929,周大福,7.47,0.03,0.4,7.35,7.5,7.35,7.44,7684600.0,56998117.0,1929.hk
22,00909,明源云,2.9,0.01,0.35,2.9,3.05,2.82,2.89,16772204.0,48902007.0,0909.hk
23,02269,药明生物,17.34,0.04,0.23,17.22,18.06,16.98,17.3,65708449.0,1148528704.0,2269.hk
24,09999,网易-S,124.5,0.0,0.0,123.5,125.6,122.5,124.5,2910142.0,360381024.0,9999.hk
25,08083,有赞,0.115,0.0,0.0,0.116,0.118,0.11,0.115,59612000.0,6772480.0,8083.hk
26,02007,碧桂园,,,,,,,0.485,,,2007.hk
27,01385,上海复旦,16.66,0.0,0.0,16.9,17.12,16.26,16.66,5531000.0,92835318.0,1385.hk
28,01060,阿里影业,0.5,0.0,0.0,0.5,0.52,0.49,0.5,74350000.0,37254970.0,1060.hk
29,09987,百胜中国,385.4,-0.4,-0.1,380.8,387.2,371.2,385.8,650498.0,246510760.0,9987.hk
30,00981,中芯国际,27.45,-0.05,-0.18,27.4,28.4,26.55,27.5,161819151.0,4434647808.0,0981.hk
31,00728,中国电信,4.49,-0.01,-0.22,4.5,4.51,4.46,4.5,30742001.0,138049706.0,0728.hk
32,09922,九毛九,3.67,-0.01,-0.27,3.7,3.75,3.51,3.68,26242700.0,94946895.0,9922.hk
33,02196,复星医药,15.3,-0.06,-0.39,15.44,15.6,15.1,15.36,4309667.0,66028440.0,2196.hk
34,00241,阿里健康,4.21,-0.02,-0.47,4.23,4.28,4.1,4.23,49637000.0,207734110.0,0241.hk
35,06862,海底捞,16.54,-0.08,-0.48,16.6,16.78,16.12,16.62,16381962.0,269063632.0,6862.hk
36,06186,中国飞鹤,5.91,-0.03,-0.51,5.94,5.94,5.8,5.94,10736200.0,63010797.0,6186.hk
37,00772,阅文集团,28.45,-0.15,-0.52,28.5,28.75,27.8,28.6,1573000.0,44610028.0,0772.hk
38,03900,绿城中国,10.54,-0.06,-0.57,10.66,10.8,10.1,10.6,16198000.0,168276900.0,3900.hk
39,06049,保利物业,33.75,-0.2,-0.59,33.95,34.2,32.6,33.95,357000.0,11845155.0,6049.hk
40,01658,邮储银行,4.54,-0.03,-0.66,4.52,4.57,4.46,4.57,29944856.0,135164750.0,1658.hk
41,02400,心动公司,21.8,-0.15,-0.68,21.75,22.45,21.55,21.95,1452600.0,31866734.0,2400.hk
42,01368,特步国际,5.68,-0.04,-0.7,5.7,5.74,5.59,5.72,6502380.0,36868416.0,1368.hk
43,01816,中广核电力,2.8,-0.02,-0.71,2.82,2.91,2.79,2.82,84261326.0,240591303.0,1816.hk
44,00763,中兴通讯,20.35,-0.15,-0.73,20.6,20.8,19.96,20.5,11639247.0,237350766.0,0763.hk
45,09633,农夫山泉,33.0,-0.25,-0.75,32.35,33.8,32.05,33.25,15537706.0,513160144.0,9633.hk
46,00005,汇丰控股,71.85,-0.55,-0.76,72.45,72.6,71.45,72.4,17555188.0,1264388896.0,0005.hk
47,06098,碧桂园服务,5.94,-0.05,-0.83,5.97,6.02,5.74,5.99,21224707.0,124622501.0,6098.hk
48,09868,小鹏汽车-W,49.25,-0.45,-0.91,50.5,51.85,48.55,49.7,15942092.0,801166384.0,9868.hk
49,00520,呷哺呷哺,1.08,-0.01,-0.92,1.09,1.09,1.04,1.09,3808000.0,4050999.0,0520.hk
50,00788,中国铁塔,1.06,-0.01,-0.93,1.07,1.09,1.06,1.07,181715606.0,194905565.0,0788.hk
51,00751,创维集团,3.12,-0.03,-0.95,3.15,3.18,3.1,3.15,2187183.0,6875150.0,0751.hk
52,00998,中信银行,5.0,-0.05,-0.99,5.05,5.06,4.98,5.05,9326145.0,46797786.0,0998.hk
53,03328,交通银行,5.98,-0.06,-0.99,6.04,6.04,5.94,6.04,21934651.0,131344696.0,3328.hk
54,00941,中国移动,71.1,-0.75,-1.04,71.85,71.85,70.95,71.85,21429840.0,1525309728.0,0941.hk
55,00780,同程旅行,18.72,-0.2,-1.06,18.64,18.88,18.18,18.92,4057900.0,74998550.0,0780.hk
56,02319,蒙牛乳业,18.24,-0.2,-1.08,18.0,18.6,17.74,18.44,17868895.0,324473568.0,2319.hk
57,03998,波司登,4.52,-0.05,-1.09,4.61,4.62,4.49,4.57,14924772.0,68047376.0,3998.hk
58,00168,青岛啤酒股份,52.0,-0.6,-1.14,52.5,52.75,51.25,52.6,2128000.0,110581466.0,0168.hk
59,00762,中国联通,6.71,-0.08,-1.18,6.8,6.87,6.67,6.79,22934325.0,154482647.0,0762.hk
60,00322,康师傅控股,11.48,-0.14,-1.2,11.6,11.72,11.36,11.62,3190000.0,36756280.0,0322.hk
61,09961,携程集团-S,530.0,-6.5,-1.21,532.0,541.0,519.0,536.5,1584311.0,837266816.0,9961.hk
62,00020,商汤-W,1.62,-0.02,-1.22,1.64,1.69,1.59,1.64,496778928.0,811323136.0,0020.hk
63,02423,贝壳-W,58.35,-0.75,-1.27,58.8,59.05,56.55,59.1,933400.0,54020912.0,2423.hk
64,00868,信义玻璃,8.91,-0.13,-1.44,9.03,9.15,8.79,9.04,8013343.0,71953006.0,0868.hk
65,00939,建设银行,6.09,-0.09,-1.46,6.09,6.15,6.03,6.18,331685680.0,2018771696.0,0939.hk
66,01288,农业银行,3.99,-0.06,-1.48,4.04,4.04,3.94,4.05,149044563.0,594140464.0,1288.hk
67,09992,泡泡玛特,69.5,-1.05,-1.49,70.35,71.3,68.45,70.55,4731562.0,328307760.0,9992.hk
68,02899,紫金矿业,16.96,-0.26,-1.51,17.18,17.18,16.68,17.22,20228354.0,341555984.0,2899.hk
69,01797,东方甄选,15.6,-0.24,-1.52,15.88,15.9,15.4,15.84,7219001.0,112836155.0,1797.hk
70,02018,瑞声科技,32.4,-0.5,-1.52,32.85,32.85,31.8,32.9,1883750.0,60890285.0,2018.hk
71,09888,百度集团-SW,88.9,-1.4,-1.55,88.9,89.55,88.0,90.3,4669015.0,414088320.0,9888.hk
72,02020,安踏体育,86.25,-1.4,-1.6,86.45,87.3,84.0,87.65,6882149.0,589466832.0,2020.hk
73,01398,工商银行,4.78,-0.08,-1.65,4.79,4.84,4.73,4.86,281236128.0,1345723680.0,1398.hk
74,02333,长城汽车,13.14,-0.22,-1.65,13.42,13.44,12.86,13.36,13248519.0,173613605.0,2333.hk
75,00656,复星国际,4.56,-0.08,-1.72,4.66,4.66,4.52,4.64,4298323.0,19653364.0,0656.hk
76,00753,中国国航,4.52,-0.08,-1.74,4.59,4.72,4.5,4.6,15968000.0,73308900.0,0753.hk
77,02331,李宁,16.74,-0.3,-1.76,16.76,17.06,16.5,17.04,16824165.0,282122272.0,2331.hk
78,01579,颐海国际,14.42,-0.26,-1.77,14.68,14.74,14.08,14.68,1094000.0,15742580.0,1579.hk
79,00700,腾讯控股,420.0,-7.8,-1.82,425.0,426.2,413.2,427.8,12898937.0,5428283392.0,0700.hk
80,03988,中国银行,3.72,-0.07,-1.85,3.75,3.78,3.7,3.79,207872417.0,775266448.0,3988.hk
81,03690,美团-W,190.2,-3.6,-1.86,191.0,193.0,183.3,193.8,27594256.0,5183667712.0,3690.hk
82,00285,比亚迪电子,33.65,-0.65,-1.9,34.8,35.0,33.3,34.3,7149523.0,242276112.0,0285.hk
83,00991,大唐发电,1.51,-0.03,-1.95,1.54,1.54,1.5,1.54,11908000.0,18033290.0,0991.hk
84,01810,小米集团-W,27.65,-0.55,-1.95,28.1,28.35,27.0,28.2,118769559.0,3286778160.0,1810.hk
85,02015,理想汽车-W,96.4,-1.95,-1.98,98.2,99.45,95.5,98.35,10677231.0,1037820368.0,2015.hk
86,06969,思摩尔国际,10.66,-0.22,-2.02,10.9,10.98,10.44,10.88,10102900.0,107845490.0,6969.hk
87,06618,京东健康,28.65,-0.6,-2.05,28.95,28.95,27.85,29.25,7182850.0,204705819.0,6618.hk
88,00883,中国海洋石油,18.0,-0.4,-2.17,18.18,18.28,17.9,18.4,110556219.0,1996600704.0,0883.hk
89,00914,海螺水泥,22.2,-0.5,-2.2,22.35,22.35,21.7,22.7,3541695.0,77789559.0,0914.hk
90,02618,京东物流,15.48,-0.36,-2.27,15.9,16.1,15.36,15.84,7755003.0,121535457.0,2618.hk
91,02057,中通快递-W,175.2,-4.1,-2.29,179.3,179.8,173.4,179.3,1013450.0,178261580.0,2057.hk
92,00388,香港交易所,322.6,-7.8,-2.36,329.8,334.6,318.0,330.4,9162091.0,2979370896.0,0388.hk
93,01928,金沙中国有限公司,20.55,-0.5,-2.38,20.7,20.75,20.1,21.05,17407423.0,354178944.0,1928.hk
94,02318,中国平安,49.0,-1.2,-2.39,49.2,50.0,47.85,50.2,51163141.0,2497998224.0,2318.hk
